date,Battery (Charging) -  MW,Pumps -  MW,Coal (Brown) -  MW,Coal (Black) -  MW,Bioenergy (Biogas) -  MW,Bioenergy (Biomass) -  MW,Distillate -  MW,Gas (Steam) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Reciprocating) -  MW,Gas (Waste Coal Mine) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2021-09-01 14:00,-26.97,-330.50,2674.00,8849.00,10.76,-2.30,-0.23,82.37,592.50,250.30,0.00,52.94,10.75,565.00,2937.00,3200.00,7847.00,NaN,-14.58
2021-09-01 14:30,-24.08,-264.30,2726.00,9194.00,10.91,-2.10,-0.24,80.76,580.80,215.30,0.00,56.19,2.42,573.30,3120.00,3184.00,7147.00,NaN,-4.41
2021-09-01 15:00,-14.14,-236.80,2788.00,9887.00,11.68,-2.07,-0.23,81.00,606.70,302.20,0.00,59.16,28.44,560.90,3105.00,3000.00,6296.00,NaN,2.85
2021-09-01 15:30,-12.92,-79.19,2888.00,10553.00,11.78,-2.10,-0.23,81.51,702.50,336.80,0.00,59.80,23.81,549.70,3120.00,2901.00,5428.00,NaN,15.04
2021-09-01 16:00,-39.13,0.00,3168.00,11449.00,11.80,-3.37,-0.23,80.95,764.10,273.20,0.00,58.87,2.09,641.40,3300.00,2572.00,4345.00,NaN,18.22
2021-09-01 16:30,-7.41,0.00,3335.00,12383.00,11.82,-3.17,-0.23,81.19,939.70,240.10,0.00,60.24,6.97,1104.00,3408.00,1993.00,3026.00,NaN,27.21
2021-09-01 17:00,-4.27,0.00,3345.00,13007.00,10.77,-3.10,-0.23,80.37,1169.00,558.40,0.00,58.71,20.32,1831.00,3570.00,1142.00,1871.00,NaN,28.86
2021-09-01 17:30,-1.62,0.00,3371.00,13408.00,11.81,-3.08,-0.22,79.94,1405.00,668.50,41.86,58.59,21.66,2719.00,4029.00,303.10,972.10,NaN,54.92
2021-09-01 18:00,-0.79,0.00,3424.00,13923.00,11.71,-2.83,-0.22,80.26,1511.00,924.60,67.29,56.48,70.65,3114.00,4218.00,29.34,541.50,NaN,478.90
2021-09-01 18:30,-2.96,0.00,3461.00,14097.00,11.77,-3.70,-0.22,79.78,1575.00,848.40,79.24,55.13,52.80,3167.00,4603.00,6.70,277.10,NaN,77.74
2021-09-01 19:00,-10.72,0.00,3484.00,13629.00,12.12,-4.10,-0.24,80.34,1639.00,909.80,30.18,55.13,12.99,2776.00,5253.00,0.26,205.80,NaN,46.80
2021-09-01 19:30,-5.93,0.00,3487.00,13584.00,11.93,-4.17,-0.22,80.33,1640.00,932.10,0.00,55.15,1.65,2177.00,5449.00,0.09,90.79,NaN,40.52
2021-09-01 20:00,-24.32,0.00,3369.00,13431.00,11.90,-4.03,-0.22,81.22,1627.00,805.20,0.00,56.11,0.12,1953.00,5588.00,0.09,3.77,NaN,45.14
2021-09-01 20:30,-6.28,0.00,3091.00,13343.00,11.93,-4.00,-0.21,84.55,1459.00,628.50,0.00,57.27,3.31,1714.00,5762.00,0.09,0.00,NaN,28.82
2021-09-01 21:00,-1.07,0.00,2938.00,13231.00,11.97,-3.80,-0.23,84.24,1413.00,628.00,0.00,57.38,17.68,1616.00,5887.00,0.09,0.00,NaN,30.13
2021-09-01 21:30,-1.33,0.00,2852.00,13015.00,11.90,0.52,-0.24,81.80,1315.00,553.60,0.00,57.36,17.56,1428.00,5942.00,0.09,0.00,NaN,29.09
2021-09-01 22:00,-1.34,0.00,2780.00,12742.00,11.96,2.58,-0.26,81.29,1137.00,509.60,0.00,57.34,10.33,1290.00,6018.00,0.09,0.00,NaN,25.53
2021-09-01 22:30,-1.70,0.00,2703.00,12752.00,12.00,6.15,-0.26,80.31,964.40,404.30,0.00,57.39,6.49,1262.00,5857.00,0.05,0.00,NaN,25.31
2021-09-01 23:00,-1.15,0.00,2723.00,12712.00,12.03,-3.50,-0.21,81.44,663.90,389.10,0.00,57.35,7.87,1153.00,5864.00,-0.12,0.00,NaN,19.23
2021-09-01 23:30,-1.03,0.00,2752.00,12590.00,11.91,-3.50,-0.19,81.51,553.10,220.70,0.00,57.39,15.44,1097.00,6031.00,-0.11,0.00,NaN,23.84
