date,Battery (Charging) -  MW,Pumps -  MW,Coal (Brown) -  MW,Coal (Black) -  MW,Bioenergy (Biomass) -  MW,Distillate -  MW,Gas (Steam) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Reciprocating) -  MW,Gas (Waste Coal Mine) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2021-09-01 14:30,-32.38,-301.24,2689.60,8315.60,-2.10,-0.24,80.79,440.26,0.12,0.00,53.62,0.01,568.74,2109.20,3176.40,6317.80,NaN,-15.45
2021-09-01 15:00,-12.79,-237.38,2761.17,8747.00,-2.08,-0.24,80.22,444.30,-0.39,0.00,58.18,6.50,566.55,2252.67,3052.83,5592.75,NaN,-11.00
2021-09-01 15:30,-22.34,-197.57,2803.00,9485.83,-2.07,-0.23,80.93,493.32,0.12,0.00,60.23,38.43,551.43,2294.67,2932.17,4705.17,NaN,-2.15
2021-09-01 16:00,-34.52,0.00,3065.67,10062.50,-2.78,-0.23,82.44,592.22,0.12,0.00,59.01,11.81,558.45,2425.33,2712.33,3686.33,NaN,12.16
2021-09-01 16:30,-10.40,0.00,3243.83,10954.33,-3.27,-0.23,80.96,686.65,-0.75,0.00,59.71,1.90,830.85,2558.67,2306.17,2553.42,NaN,14.98
2021-09-01 17:00,-7.27,0.00,3342.17,11795.00,-3.10,-0.23,80.95,901.82,96.34,0.00,59.47,12.58,1409.67,2669.67,1595.33,1473.80,NaN,24.49
2021-09-01 17:30,-1.71,0.00,3358.67,12201.00,-3.13,-0.23,79.61,1099.33,304.98,10.33,58.62,18.42,2330.50,3049.67,656.05,644.79,NaN,26.47
2021-09-01 18:00,-0.78,0.00,3401.50,12625.50,-2.90,-0.22,80.11,1243.50,447.40,64.90,57.99,43.30,2974.67,3438.50,96.91,185.58,NaN,55.93
2021-09-01 18:30,-1.22,0.00,3442.33,12928.83,-3.30,-0.22,80.19,1289.33,553.37,69.75,55.38,78.10,3180.50,3608.67,2.92,31.24,NaN,564.70
2021-09-01 19:00,-6.90,0.00,3473.33,12631.83,-3.88,-0.22,79.69,1347.00,523.67,73.58,55.12,29.38,3048.17,4120.50,0.09,2.31,NaN,82.45
2021-09-01 19:30,-9.53,0.00,3479.67,12381.17,-4.10,-0.24,80.36,1363.50,480.88,0.00,55.15,1.83,2415.00,4540.67,0.09,0.00,NaN,45.63
2021-09-01 20:00,-16.17,0.00,3460.33,12323.33,-4.12,-0.22,81.10,1349.33,229.94,0.00,55.14,1.66,2052.33,4722.17,0.09,0.00,NaN,31.88
2021-09-01 20:30,-16.37,0.00,3239.67,12146.17,-4.03,-0.21,81.74,1269.50,2.63,0.00,57.22,0.20,1804.83,4852.83,0.09,0.00,NaN,33.50
2021-09-01 21:00,-0.84,0.00,2998.50,12100.00,-4.00,-0.21,87.28,1140.67,-1.17,0.00,57.26,17.13,1712.67,4939.67,0.09,0.00,NaN,20.71
2021-09-01 21:30,-1.19,0.00,2871.67,11904.00,-1.88,-0.26,80.44,1100.33,-1.73,0.00,57.37,9.21,1500.50,5107.83,0.09,0.00,NaN,26.44
2021-09-01 22:00,-1.68,0.00,2816.00,11633.50,1.67,-0.22,82.46,960.15,-1.56,0.00,57.37,18.33,1355.17,5144.83,0.09,0.00,NaN,26.10
2021-09-01 22:30,-1.17,0.00,2753.67,11643.83,4.02,-0.28,80.86,773.60,-1.99,0.00,57.37,8.52,1270.17,5114.17,0.09,0.00,NaN,21.76
2021-09-01 23:00,-1.56,0.00,2686.17,11581.00,1.90,-0.23,80.27,532.45,-1.76,0.00,57.35,6.38,1221.83,5046.33,-0.07,0.00,NaN,21.95
2021-09-01 23:30,-1.06,0.00,2763.50,11588.17,-3.50,-0.20,81.79,320.27,-2.02,0.00,57.37,10.88,1100.83,5237.67,-0.11,0.00,NaN,14.51
2021-09-02 00:00,-1.32,0.00,2713.50,11324.67,-3.52,-0.18,81.26,302.33,-1.95,0.00,57.39,15.77,1094.83,5284.67,-0.11,0.00,NaN,20.42
2021-09-02 00:30,-1.02,0.00,2765.50,11035.33,-3.43,-0.18,82.79,310.75,-0.06,0.00,57.37,19.39,839.57,5324.00,-0.11,0.00,NaN,20.02
2021-09-02 01:00,-2.98,0.00,2727.00,10722.83,-3.45,-0.18,80.80,309.18,-0.74,0.00,57.41,11.64,709.13,5400.50,-0.11,0.00,NaN,20.98
2021-09-02 01:30,-7.99,0.00,2576.83,10498.67,-3.40,-0.19,80.07,307.60,-0.24,0.00,57.35,1.93,645.92,5393.67,-0.11,0.00,NaN,19.41
2021-09-02 02:00,-3.61,0.00,2423.67,10109.50,-3.40,-0.17,80.60,309.22,-0.21,0.00,57.39,3.88,610.13,5414.83,-0.12,0.00,NaN,12.81
2021-09-02 02:30,-2.35,0.00,2328.50,9820.17,-2.48,-0.23,80.48,309.03,-0.21,0.00,57.37,3.75,580.97,5351.33,-0.18,0.00,NaN,10.48
2021-09-02 03:00,-9.68,0.00,2295.00,9480.33,-2.33,-0.28,80.14,308.90,-1.13,0.00,57.38,3.80,541.05,5242.17,-0.18,0.00,NaN,4.45
2021-09-02 03:30,-1.35,0.00,2302.83,9317.83,-2.33,-0.26,81.73,310.20,-1.18,0.00,57.38,6.03,539.15,5214.67,-0.13,0.00,NaN,-2.49
2021-09-02 04:00,-9.13,0.00,2274.50,9442.33,-2.37,-0.18,82.02,311.02,-1.15,0.00,57.40,1.86,536.77,5201.17,-0.11,0.00,NaN,0.97
2021-09-02 04:30,-31.45,0.00,2238.17,9620.17,-2.30,-0.16,81.89,310.08,-1.72,0.00,57.36,0.46,536.78,5179.33,-0.11,0.00,NaN,-3.79
2021-09-02 05:00,-1.79,0.00,2259.67,9907.67,-2.47,-0.17,81.74,310.53,-1.68,0.00,57.39,5.66,543.73,5145.67,-0.11,0.00,NaN,-4.51
2021-09-02 05:30,-2.71,0.00,2355.83,10313.17,-2.40,-0.25,81.73,309.75,-0.74,0.00,57.38,7.29,542.65,5251.67,-0.11,0.00,NaN,-2.71
