data,nem,swis,sum,all_regions
2021-09-01T03:30:00+00:00,,,,
2021-09-01T04:00:00+00:00,,,,-26.97
2021-09-01T04:30:00+00:00,-32.38,,-32.38,-24.08
2021-09-01T05:00:00+00:00,-12.79,,-12.79,-14.14
2021-09-01T05:30:00+00:00,-22.34,,-22.34,-12.92
2021-09-01T06:00:00+00:00,-34.52,,-34.52,-39.13
2021-09-01T06:30:00+00:00,-10.4,,-10.4,-7.41
2021-09-01T07:00:00+00:00,-7.27,,-7.27,-4.27
2021-09-01T07:30:00+00:00,-1.71,,-1.71,-1.62
2021-09-01T08:00:00+00:00,-0.78,,-0.78,-0.79
2021-09-01T08:30:00+00:00,-1.22,,-1.22,-2.96
2021-09-01T09:00:00+00:00,-6.9,,-6.9,-10.72
2021-09-01T09:30:00+00:00,-9.53,,-9.53,-5.93
2021-09-01T10:00:00+00:00,-16.17,,-16.17,-24.32
2021-09-01T10:30:00+00:00,-16.37,,-16.37,-6.28
2021-09-01T11:00:00+00:00,-0.84,,-0.84,-1.07
2021-09-01T11:30:00+00:00,-1.19,,-1.19,-1.33
2021-09-01T12:00:00+00:00,-1.68,,-1.68,-1.34
2021-09-01T12:30:00+00:00,-1.17,,-1.17,-1.7
2021-09-01T13:00:00+00:00,-1.56,,-1.56,-1.15
2021-09-01T13:30:00+00:00,-1.06,,-1.06,-1.03
2021-09-01T14:00:00+00:00,-1.32,,-1.32,-1.27
2021-09-01T14:30:00+00:00,-1.02,,-1.02,-1.1
2021-09-01T15:00:00+00:00,-2.98,,-2.98,-5.3
2021-09-01T15:30:00+00:00,-7.99,,-7.99,-7.55
2021-09-01T16:00:00+00:00,-3.61,,-3.61,-2.38
2021-09-01T16:30:00+00:00,-2.35,,-2.35,-6.15
2021-09-01T17:00:00+00:00,-9.68,,-9.68,-5.46
2021-09-01T17:30:00+00:00,-1.35,,-1.35,-5.47
2021-09-01T18:00:00+00:00,-9.13,,-9.13,-19.56
2021-09-01T18:30:00+00:00,-31.45,,-31.45,-16.84
2021-09-01T19:00:00+00:00,-1.79,,-1.79,-3.05
2021-09-01T19:30:00+00:00,-2.71,,-2.71,-3.0
2021-09-01T20:00:00+00:00,-2.98,,-2.98,-12.57
2021-09-01T20:30:00+00:00,-17.2,,-17.2,-21.39
2021-09-01T21:00:00+00:00,-30.5,,-30.5,-31.5
2021-09-01T21:30:00+00:00,-43.9,,-43.9,-34.71
2021-09-01T22:00:00+00:00,-15.59,,-15.59,-12.72
2021-09-01T22:30:00+00:00,-10.49,,-10.49,-28.54
2021-09-01T23:00:00+00:00,-34.68,,-34.68,-28.28
2021-09-01T23:30:00+00:00,-29.39,,-29.39,-60.53
2021-09-02T00:00:00+00:00,-85.08,,-85.08,-76.22
2021-09-02T00:30:00+00:00,-58.15,,-58.15,-51.12
2021-09-02T01:00:00+00:00,-45.54,,-45.54,-14.21
2021-09-02T01:30:00+00:00,-1.14,,-1.14,-0.98
2021-09-02T02:00:00+00:00,-0.94,,-0.94,-0.86
2021-09-02T02:30:00+00:00,-8.95,,-8.95,-26.03
2021-09-02T03:00:00+00:00,-36.15,,-36.15,-40.77
2021-09-02T03:30:00+00:00,-32.88,,-32.88,-24.04
2021-09-02T04:00:00+00:00,-23.22,,-23.22,-28.53
2021-09-02T04:30:00+00:00,-41.38,,-41.38,
