data,nem,swis,sum,all_regions
2021-09-01T03:30:00+00:00,,,,
2021-09-01T04:00:00+00:00,,,,10.75
2021-09-01T04:30:00+00:00,0.01,,0.01,2.42
2021-09-01T05:00:00+00:00,6.5,,6.5,28.44
2021-09-01T05:30:00+00:00,38.43,,38.43,23.81
2021-09-01T06:00:00+00:00,11.81,,11.81,2.09
2021-09-01T06:30:00+00:00,1.9,,1.9,6.97
2021-09-01T07:00:00+00:00,12.58,,12.58,20.32
2021-09-01T07:30:00+00:00,18.42,,18.42,21.66
2021-09-01T08:00:00+00:00,43.3,,43.3,70.65
2021-09-01T08:30:00+00:00,78.1,,78.1,52.8
2021-09-01T09:00:00+00:00,29.38,,29.38,12.99
2021-09-01T09:30:00+00:00,1.83,,1.83,1.65
2021-09-01T10:00:00+00:00,1.66,,1.66,0.12
2021-09-01T10:30:00+00:00,0.2,,0.2,3.31
2021-09-01T11:00:00+00:00,17.13,,17.13,17.68
2021-09-01T11:30:00+00:00,9.21,,9.21,17.56
2021-09-01T12:00:00+00:00,18.33,,18.33,10.33
2021-09-01T12:30:00+00:00,8.52,,8.52,6.49
2021-09-01T13:00:00+00:00,6.38,,6.38,7.87
2021-09-01T13:30:00+00:00,10.88,,10.88,15.44
2021-09-01T14:00:00+00:00,15.77,,15.77,17.52
2021-09-01T14:30:00+00:00,19.39,,19.39,15.71
2021-09-01T15:00:00+00:00,11.64,,11.64,7.46
2021-09-01T15:30:00+00:00,1.93,,1.93,0.74
2021-09-01T16:00:00+00:00,3.88,,3.88,6.24
2021-09-01T16:30:00+00:00,3.75,,3.75,1.21
2021-09-01T17:00:00+00:00,3.8,,3.8,4.4
2021-09-01T17:30:00+00:00,6.03,,6.03,5.98
2021-09-01T18:00:00+00:00,1.86,,1.86,1.22
2021-09-01T18:30:00+00:00,0.46,,0.46,0.85
2021-09-01T19:00:00+00:00,5.66,,5.66,5.67
2021-09-01T19:30:00+00:00,7.29,,7.29,10.15
2021-09-01T20:00:00+00:00,11.13,,11.13,7.42
2021-09-01T20:30:00+00:00,1.61,,1.61,1.6
2021-09-01T21:00:00+00:00,0.89,,0.89,6.81
2021-09-01T21:30:00+00:00,6.55,,6.55,15.85
2021-09-01T22:00:00+00:00,15.59,,15.59,2.12
2021-09-01T22:30:00+00:00,4.06,,4.06,2.32
2021-09-01T23:00:00+00:00,0.29,,0.29,1.01
2021-09-01T23:30:00+00:00,2.79,,2.79,3.04
2021-09-02T00:00:00+00:00,1.43,,1.43,5.78
2021-09-02T00:30:00+00:00,5.55,,5.55,1.28
2021-09-02T01:00:00+00:00,8.12,,8.12,24.09
2021-09-02T01:30:00+00:00,29.35,,29.35,30.51
2021-09-02T02:00:00+00:00,37.72,,37.72,29.43
2021-09-02T02:30:00+00:00,13.55,,13.55,6.0
2021-09-02T03:00:00+00:00,7.44,,7.44,5.76
2021-09-02T03:30:00+00:00,6.21,,6.21,6.24
2021-09-02T04:00:00+00:00,7.29,,7.29,9.3
2021-09-02T04:30:00+00:00,3.47,,3.47,
