data,nem,swis,sum,all_regions
2021-09-01T03:30:00+00:00,,10.93,10.93,
2021-09-01T04:00:00+00:00,,10.76,10.76,10.76
2021-09-01T04:30:00+00:00,,10.91,10.91,10.91
2021-09-01T05:00:00+00:00,,11.68,11.68,11.68
2021-09-01T05:30:00+00:00,,11.78,11.78,11.78
2021-09-01T06:00:00+00:00,,11.8,11.8,11.8
2021-09-01T06:30:00+00:00,,11.82,11.82,11.82
2021-09-01T07:00:00+00:00,,10.77,10.77,10.77
2021-09-01T07:30:00+00:00,,11.81,11.81,11.81
2021-09-01T08:00:00+00:00,,11.71,11.71,11.71
2021-09-01T08:30:00+00:00,,11.77,11.77,11.77
2021-09-01T09:00:00+00:00,,12.12,12.12,12.12
2021-09-01T09:30:00+00:00,,11.93,11.93,11.93
2021-09-01T10:00:00+00:00,,11.9,11.9,11.9
2021-09-01T10:30:00+00:00,,11.93,11.93,11.93
2021-09-01T11:00:00+00:00,,11.97,11.97,11.97
2021-09-01T11:30:00+00:00,,11.9,11.9,11.9
2021-09-01T12:00:00+00:00,,11.96,11.96,11.96
2021-09-01T12:30:00+00:00,,12.0,12.0,12.0
2021-09-01T13:00:00+00:00,,12.03,12.03,12.03
2021-09-01T13:30:00+00:00,,11.91,11.91,11.91
2021-09-01T14:00:00+00:00,,11.87,11.87,11.87
2021-09-01T14:30:00+00:00,,12.02,12.02,12.02
2021-09-01T15:00:00+00:00,,12.11,12.11,12.11
2021-09-01T15:30:00+00:00,,12.09,12.09,12.09
2021-09-01T16:00:00+00:00,,7.9,7.9,7.9
2021-09-01T16:30:00+00:00,,9.37,9.37,9.37
2021-09-01T17:00:00+00:00,,10.2,10.2,10.2
2021-09-01T17:30:00+00:00,,10.36,10.36,10.36
2021-09-01T18:00:00+00:00,,10.34,10.34,10.34
2021-09-01T18:30:00+00:00,,10.35,10.35,10.35
2021-09-01T19:00:00+00:00,,10.18,10.18,10.18
2021-09-01T19:30:00+00:00,,10.4,10.4,10.4
2021-09-01T20:00:00+00:00,,10.3,10.3,10.3
2021-09-01T20:30:00+00:00,,10.39,10.39,10.39
2021-09-01T21:00:00+00:00,,10.36,10.36,10.36
2021-09-01T21:30:00+00:00,,10.36,10.36,10.36
2021-09-01T22:00:00+00:00,,10.2,10.2,10.2
2021-09-01T22:30:00+00:00,,9.78,9.78,9.78
2021-09-01T23:00:00+00:00,,9.7,9.7,9.7
2021-09-01T23:30:00+00:00,,8.82,8.82,8.82
2021-09-02T00:00:00+00:00,,7.81,7.81,7.81
2021-09-02T00:30:00+00:00,,8.21,8.21,8.21
2021-09-02T01:00:00+00:00,,8.58,8.58,8.58
2021-09-02T01:30:00+00:00,,8.63,8.63,8.63
2021-09-02T02:00:00+00:00,,8.39,8.39,8.39
2021-09-02T02:30:00+00:00,,9.43,9.43,9.43
2021-09-02T03:00:00+00:00,,10.15,10.15,10.15
2021-09-02T03:30:00+00:00,,10.11,10.11,10.11
2021-09-02T04:00:00+00:00,,,,0.0
2021-09-02T04:30:00+00:00,,,,
