data,nem,swis,sum,all_regions
2021-09-01T03:30:00+00:00,,,,
2021-09-01T04:00:00+00:00,,,,-2.3
2021-09-01T04:30:00+00:00,-2.1,,-2.1,-2.1
2021-09-01T05:00:00+00:00,-2.08,,-2.08,-2.07
2021-09-01T05:30:00+00:00,-2.07,,-2.07,-2.1
2021-09-01T06:00:00+00:00,-2.78,,-2.78,-3.37
2021-09-01T06:30:00+00:00,-3.27,,-3.27,-3.17
2021-09-01T07:00:00+00:00,-3.1,,-3.1,-3.1
2021-09-01T07:30:00+00:00,-3.13,,-3.13,-3.08
2021-09-01T08:00:00+00:00,-2.9,,-2.9,-2.83
2021-09-01T08:30:00+00:00,-3.3,,-3.3,-3.7
2021-09-01T09:00:00+00:00,-3.88,,-3.88,-4.1
2021-09-01T09:30:00+00:00,-4.1,,-4.1,-4.17
2021-09-01T10:00:00+00:00,-4.12,,-4.12,-4.03
2021-09-01T10:30:00+00:00,-4.03,,-4.03,-4.0
2021-09-01T11:00:00+00:00,-4.0,,-4.0,-3.8
2021-09-01T11:30:00+00:00,-1.88,,-1.88,0.52
2021-09-01T12:00:00+00:00,1.67,,1.67,2.58
2021-09-01T12:30:00+00:00,4.02,,4.02,6.15
2021-09-01T13:00:00+00:00,1.9,,1.9,-3.5
2021-09-01T13:30:00+00:00,-3.5,,-3.5,-3.5
2021-09-01T14:00:00+00:00,-3.52,,-3.52,-3.47
2021-09-01T14:30:00+00:00,-3.43,,-3.43,-3.48
2021-09-01T15:00:00+00:00,-3.45,,-3.45,-3.4
2021-09-01T15:30:00+00:00,-3.4,,-3.4,-3.4
2021-09-01T16:00:00+00:00,-3.4,,-3.4,-3.03
2021-09-01T16:30:00+00:00,-2.48,,-2.48,-2.3
2021-09-01T17:00:00+00:00,-2.33,,-2.33,-2.37
2021-09-01T17:30:00+00:00,-2.33,,-2.33,-2.37
2021-09-01T18:00:00+00:00,-2.37,,-2.37,-2.3
2021-09-01T18:30:00+00:00,-2.3,,-2.3,-2.33
2021-09-01T19:00:00+00:00,-2.47,,-2.47,-2.48
2021-09-01T19:30:00+00:00,-2.4,,-2.4,-2.43
2021-09-01T20:00:00+00:00,-2.48,,-2.48,-2.5
2021-09-01T20:30:00+00:00,-2.5,,-2.5,-2.5
2021-09-01T21:00:00+00:00,-2.53,,-2.53,-2.63
2021-09-01T21:30:00+00:00,-2.57,,-2.57,-2.57
2021-09-01T22:00:00+00:00,-2.65,,-2.65,-2.58
2021-09-01T22:30:00+00:00,-2.63,,-2.63,-2.7
2021-09-01T23:00:00+00:00,-2.78,,-2.78,-3.23
2021-09-01T23:30:00+00:00,-3.6,,-3.6,-3.6
2021-09-02T00:00:00+00:00,-3.6,,-3.6,-3.7
2021-09-02T00:30:00+00:00,-3.73,,-3.73,-3.67
2021-09-02T01:00:00+00:00,-3.63,,-3.63,-3.67
2021-09-02T01:30:00+00:00,-3.77,,-3.77,-3.73
2021-09-02T02:00:00+00:00,-3.75,,-3.75,-3.85
2021-09-02T02:30:00+00:00,-3.83,,-3.83,-3.8
2021-09-02T03:00:00+00:00,-3.8,,-3.8,-3.8
2021-09-02T03:30:00+00:00,-3.8,,-3.8,-3.8
2021-09-02T04:00:00+00:00,-3.8,,-3.8,-3.76
2021-09-02T04:30:00+00:00,-3.7,,-3.7,
