data,nem,swis,sum,all_regions
2021-09-01T03:30:00+00:00,,734.5,734.5,
2021-09-01T04:00:00+00:00,,738.1,738.1,8849.0
2021-09-01T04:30:00+00:00,8315.6,748.1,9063.7,9194.0
2021-09-01T05:00:00+00:00,8747.0,744.9,9491.9,9887.0
2021-09-01T05:30:00+00:00,9485.83,823.4,10309.23,10553.0
2021-09-01T06:00:00+00:00,10062.5,928.9,10991.4,11449.0
2021-09-01T06:30:00+00:00,10954.33,977.4,11931.73,12383.0
2021-09-01T07:00:00+00:00,11795.0,976.7,12771.7,13007.0
2021-09-01T07:30:00+00:00,12201.0,1010.0,13211.0,13408.0
2021-09-01T08:00:00+00:00,12625.5,1088.0,13713.5,13923.0
2021-09-01T08:30:00+00:00,12928.83,1202.0,14130.83,14097.0
2021-09-01T09:00:00+00:00,12631.83,1207.0,13838.83,13629.0
2021-09-01T09:30:00+00:00,12381.17,1207.0,13588.17,13584.0
2021-09-01T10:00:00+00:00,12323.33,1217.0,13540.33,13431.0
2021-09-01T10:30:00+00:00,12146.17,1216.0,13362.17,13343.0
2021-09-01T11:00:00+00:00,12100.0,1208.0,13308.0,13231.0
2021-09-01T11:30:00+00:00,11904.0,1203.0,13107.0,13015.0
2021-09-01T12:00:00+00:00,11633.5,1173.0,12806.5,12742.0
2021-09-01T12:30:00+00:00,11643.83,1146.0,12789.83,12752.0
2021-09-01T13:00:00+00:00,11581.0,1118.0,12699.0,12712.0
2021-09-01T13:30:00+00:00,11588.17,1099.0,12687.17,12590.0
2021-09-01T14:00:00+00:00,11324.67,997.6,12322.27,12184.0
2021-09-01T14:30:00+00:00,11035.33,883.9,11919.23,11718.0
2021-09-01T15:00:00+00:00,10722.83,824.1,11546.93,11465.0
2021-09-01T15:30:00+00:00,10498.67,816.0,11314.67,11125.0
2021-09-01T16:00:00+00:00,10109.5,754.3,10863.8,10691.0
2021-09-01T16:30:00+00:00,9820.17,725.5,10545.67,10429.0
2021-09-01T17:00:00+00:00,9480.33,714.7,10195.03,10021.0
2021-09-01T17:30:00+00:00,9317.83,721.1,10038.93,10096.0
2021-09-01T18:00:00+00:00,9442.33,717.6,10159.93,10275.0
2021-09-01T18:30:00+00:00,9620.17,721.5,10341.67,10445.0
2021-09-01T19:00:00+00:00,9907.67,721.5,10629.17,10819.0
2021-09-01T19:30:00+00:00,10313.17,745.3,11058.47,11298.0
2021-09-01T20:00:00+00:00,10867.5,743.8,11611.3,12011.0
2021-09-01T20:30:00+00:00,11586.0,781.3,12367.3,12486.0
2021-09-01T21:00:00+00:00,11636.83,808.2,12445.03,12236.0
2021-09-01T21:30:00+00:00,11029.0,809.5,11838.5,11336.0
2021-09-01T22:00:00+00:00,10197.83,1063.0,11260.83,11093.0
2021-09-01T22:30:00+00:00,9801.33,1210.0,11011.33,10751.0
2021-09-01T23:00:00+00:00,9350.5,1218.0,10568.5,10447.0
2021-09-01T23:30:00+00:00,9176.17,1216.0,10392.17,10274.0
2021-09-02T00:00:00+00:00,8847.33,1194.0,10041.33,9895.0
2021-09-02T00:30:00+00:00,8449.83,1138.0,9587.83,9380.0
2021-09-02T01:00:00+00:00,8231.5,961.5,9193.0,9135.0
2021-09-02T01:30:00+00:00,8108.33,830.1,8938.43,8906.0
2021-09-02T02:00:00+00:00,8093.83,899.1,8992.93,9025.0
2021-09-02T02:30:00+00:00,8157.83,763.5,8921.33,8905.0
2021-09-02T03:00:00+00:00,8067.33,705.7,8773.03,8660.0
2021-09-02T03:30:00+00:00,7876.83,686.4,8563.23,8565.0
2021-09-02T04:00:00+00:00,7913.67,,7913.67,8028.0
2021-09-02T04:30:00+00:00,8155.0,,8155.0,
