data,nem,swis,sum,all_regions
2021-09-01T03:30:00+00:00,,,,
2021-09-01T04:00:00+00:00,,,,2674.0
2021-09-01T04:30:00+00:00,2689.6,,2689.6,2726.0
2021-09-01T05:00:00+00:00,2761.17,,2761.17,2788.0
2021-09-01T05:30:00+00:00,2803.0,,2803.0,2888.0
2021-09-01T06:00:00+00:00,3065.67,,3065.67,3168.0
2021-09-01T06:30:00+00:00,3243.83,,3243.83,3335.0
2021-09-01T07:00:00+00:00,3342.17,,3342.17,3345.0
2021-09-01T07:30:00+00:00,3358.67,,3358.67,3371.0
2021-09-01T08:00:00+00:00,3401.5,,3401.5,3424.0
2021-09-01T08:30:00+00:00,3442.33,,3442.33,3461.0
2021-09-01T09:00:00+00:00,3473.33,,3473.33,3484.0
2021-09-01T09:30:00+00:00,3479.67,,3479.67,3487.0
2021-09-01T10:00:00+00:00,3460.33,,3460.33,3369.0
2021-09-01T10:30:00+00:00,3239.67,,3239.67,3091.0
2021-09-01T11:00:00+00:00,2998.5,,2998.5,2938.0
2021-09-01T11:30:00+00:00,2871.67,,2871.67,2852.0
2021-09-01T12:00:00+00:00,2816.0,,2816.0,2780.0
2021-09-01T12:30:00+00:00,2753.67,,2753.67,2703.0
2021-09-01T13:00:00+00:00,2686.17,,2686.17,2723.0
2021-09-01T13:30:00+00:00,2763.5,,2763.5,2752.0
2021-09-01T14:00:00+00:00,2713.5,,2713.5,2710.0
2021-09-01T14:30:00+00:00,2765.5,,2765.5,2776.0
2021-09-01T15:00:00+00:00,2727.0,,2727.0,2646.0
2021-09-01T15:30:00+00:00,2576.83,,2576.83,2508.0
2021-09-01T16:00:00+00:00,2423.67,,2423.67,2363.0
2021-09-01T16:30:00+00:00,2328.5,,2328.5,2310.0
2021-09-01T17:00:00+00:00,2295.0,,2295.0,2293.0
2021-09-01T17:30:00+00:00,2302.83,,2302.83,2296.0
2021-09-01T18:00:00+00:00,2274.5,,2274.5,2265.0
2021-09-01T18:30:00+00:00,2238.17,,2238.17,2217.0
2021-09-01T19:00:00+00:00,2259.67,,2259.67,2319.0
2021-09-01T19:30:00+00:00,2355.83,,2355.83,2397.0
2021-09-01T20:00:00+00:00,2499.33,,2499.33,2604.0
2021-09-01T20:30:00+00:00,2687.5,,2687.5,2788.0
2021-09-01T21:00:00+00:00,2795.5,,2795.5,2787.0
2021-09-01T21:30:00+00:00,2803.67,,2803.67,2750.0
2021-09-01T22:00:00+00:00,2629.33,,2629.33,2526.0
2021-09-01T22:30:00+00:00,2543.0,,2543.0,2555.0
2021-09-01T23:00:00+00:00,2512.67,,2512.67,2433.0
2021-09-01T23:30:00+00:00,2336.67,,2336.67,2319.0
2021-09-02T00:00:00+00:00,2315.0,,2315.0,2319.0
2021-09-02T00:30:00+00:00,2316.33,,2316.33,2332.0
2021-09-02T01:00:00+00:00,2346.5,,2346.5,2310.0
2021-09-02T01:30:00+00:00,2302.33,,2302.33,2309.0
2021-09-02T02:00:00+00:00,2318.0,,2318.0,2349.0
2021-09-02T02:30:00+00:00,2354.33,,2354.33,2308.0
2021-09-02T03:00:00+00:00,2294.33,,2294.33,2296.0
2021-09-02T03:30:00+00:00,2277.33,,2277.33,2246.0
2021-09-02T04:00:00+00:00,2217.83,,2217.83,2241.0
2021-09-02T04:30:00+00:00,2278.5,,2278.5,
