data,nem,swis,sum,all_regions
2021-09-01T03:30:00+00:00,,,,
2021-09-01T04:00:00+00:00,,,,-0.23
2021-09-01T04:30:00+00:00,-0.24,,-0.24,-0.24
2021-09-01T05:00:00+00:00,-0.24,,-0.24,-0.23
2021-09-01T05:30:00+00:00,-0.23,,-0.23,-0.23
2021-09-01T06:00:00+00:00,-0.23,,-0.23,-0.23
2021-09-01T06:30:00+00:00,-0.23,,-0.23,-0.23
2021-09-01T07:00:00+00:00,-0.23,,-0.23,-0.23
2021-09-01T07:30:00+00:00,-0.23,,-0.23,-0.22
2021-09-01T08:00:00+00:00,-0.22,,-0.22,-0.22
2021-09-01T08:30:00+00:00,-0.22,,-0.22,-0.22
2021-09-01T09:00:00+00:00,-0.22,,-0.22,-0.24
2021-09-01T09:30:00+00:00,-0.24,,-0.24,-0.22
2021-09-01T10:00:00+00:00,-0.22,,-0.22,-0.22
2021-09-01T10:30:00+00:00,-0.21,,-0.21,-0.21
2021-09-01T11:00:00+00:00,-0.21,,-0.21,-0.23
2021-09-01T11:30:00+00:00,-0.26,,-0.26,-0.24
2021-09-01T12:00:00+00:00,-0.22,,-0.22,-0.26
2021-09-01T12:30:00+00:00,-0.28,,-0.28,-0.26
2021-09-01T13:00:00+00:00,-0.23,,-0.23,-0.21
2021-09-01T13:30:00+00:00,-0.2,,-0.2,-0.19
2021-09-01T14:00:00+00:00,-0.18,,-0.18,-0.18
2021-09-01T14:30:00+00:00,-0.18,,-0.18,-0.18
2021-09-01T15:00:00+00:00,-0.18,,-0.18,-0.19
2021-09-01T15:30:00+00:00,-0.19,,-0.19,-0.17
2021-09-01T16:00:00+00:00,-0.17,,-0.17,-0.18
2021-09-01T16:30:00+00:00,-0.23,,-0.23,-0.26
2021-09-01T17:00:00+00:00,-0.28,,-0.28,-0.28
2021-09-01T17:30:00+00:00,-0.26,,-0.26,-0.21
2021-09-01T18:00:00+00:00,-0.18,,-0.18,-0.17
2021-09-01T18:30:00+00:00,-0.16,,-0.16,-0.16
2021-09-01T19:00:00+00:00,-0.17,,-0.17,-0.22
2021-09-01T19:30:00+00:00,-0.25,,-0.25,-0.22
2021-09-01T20:00:00+00:00,-0.17,,-0.17,-0.14
2021-09-01T20:30:00+00:00,1.9,,1.9,17.03
2021-09-01T21:00:00+00:00,30.13,,30.13,30.08
2021-09-01T21:30:00+00:00,30.03,,30.03,14.9
2021-09-01T22:00:00+00:00,-0.18,,-0.18,-0.15
2021-09-01T22:30:00+00:00,-0.2,,-0.2,-0.18
2021-09-01T23:00:00+00:00,-0.13,,-0.13,-0.14
2021-09-01T23:30:00+00:00,-0.15,,-0.15,-0.15
2021-09-02T00:00:00+00:00,-0.16,,-0.16,-0.2
2021-09-02T00:30:00+00:00,-0.25,,-0.25,-0.25
2021-09-02T01:00:00+00:00,-0.22,,-0.22,-0.19
2021-09-02T01:30:00+00:00,-0.23,,-0.23,-0.25
2021-09-02T02:00:00+00:00,6.8,,6.8,22.31
2021-09-02T02:30:00+00:00,31.14,,31.14,32.97
2021-09-02T03:00:00+00:00,33.63,,33.63,33.46
2021-09-02T03:30:00+00:00,45.96,,45.96,60.12
2021-09-02T04:00:00+00:00,65.61,,65.61,77.78
2021-09-02T04:30:00+00:00,91.28,,91.28,
