data,nem,swis,sum,all_regions
2021-09-01T03:30:00+00:00,,NaN,NaN,
2021-09-01T04:00:00+00:00,,NaN,NaN,NaN
2021-09-01T04:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T05:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T05:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T06:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T06:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T07:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T07:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T08:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T08:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T09:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T09:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T10:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T10:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T11:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T11:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T12:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T12:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T13:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T13:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T14:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T14:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T15:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T15:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T16:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T16:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T17:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T17:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T18:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T18:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T19:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T19:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T20:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T20:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T21:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T21:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T22:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T22:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T23:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-01T23:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-02T00:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-02T00:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-02T01:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-02T01:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-02T02:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-02T02:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-02T03:00:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-02T03:30:00+00:00,NaN,NaN,NaNNaN,NaN
2021-09-02T04:00:00+00:00,NaN,,NaN,NaN
2021-09-02T04:30:00+00:00,NaN,,NaN,
