data,nem,swis,sum,all_regions
2021-09-01T03:30:00+00:00,,151.7,151.7,
2021-09-01T04:00:00+00:00,,149.8,149.8,592.5
2021-09-01T04:30:00+00:00,440.26,140.2,580.46,580.8
2021-09-01T05:00:00+00:00,444.3,147.8,592.1,606.7
2021-09-01T05:30:00+00:00,493.32,148.8,642.12,702.5
2021-09-01T06:00:00+00:00,592.22,150.7,742.9200000000001,764.1
2021-09-01T06:30:00+00:00,686.65,149.3,835.95,939.7
2021-09-01T07:00:00+00:00,901.82,168.0,1069.8200000000002,1169.0
2021-09-01T07:30:00+00:00,1099.33,209.8,1309.1299999999999,1405.0
2021-09-01T08:00:00+00:00,1243.5,245.3,1488.8,1511.0
2021-09-01T08:30:00+00:00,1289.33,252.5,1541.83,1575.0
2021-09-01T09:00:00+00:00,1347.0,281.8,1628.8,1639.0
2021-09-01T09:30:00+00:00,1363.5,279.8,1643.3,1640.0
2021-09-01T10:00:00+00:00,1349.33,295.7,1645.03,1627.0
2021-09-01T10:30:00+00:00,1269.5,275.5,1545.0,1459.0
2021-09-01T11:00:00+00:00,1140.67,296.2,1436.8700000000001,1413.0
2021-09-01T11:30:00+00:00,1100.33,278.4,1378.73,1315.0
2021-09-01T12:00:00+00:00,960.15,263.5,1223.65,1137.0
2021-09-01T12:30:00+00:00,773.6,286.1,1059.7,964.4
2021-09-01T13:00:00+00:00,532.45,265.9,798.35,663.9
2021-09-01T13:30:00+00:00,320.27,253.0,573.27,553.1
2021-09-01T14:00:00+00:00,302.33,242.4,544.73,550.4
2021-09-01T14:30:00+00:00,310.75,205.0,515.75,514.3
2021-09-01T15:00:00+00:00,309.18,205.4,514.58,514.7
2021-09-01T15:30:00+00:00,307.6,163.2,470.8,471.1
2021-09-01T16:00:00+00:00,309.22,163.2,472.42,472.2
2021-09-01T16:30:00+00:00,309.03,142.6,451.63,452.5
2021-09-01T17:00:00+00:00,308.9,143.5,452.4,451.8
2021-09-01T17:30:00+00:00,310.2,145.9,456.1,456.6
2021-09-01T18:00:00+00:00,311.02,130.6,441.62,442.1
2021-09-01T18:30:00+00:00,310.08,133.4,443.48,443.9
2021-09-01T19:00:00+00:00,310.53,147.4,457.92999999999995,457.1
2021-09-01T19:30:00+00:00,309.75,128.2,437.95,438.8
2021-09-01T20:00:00+00:00,310.7,132.0,442.7,440.6
2021-09-01T20:30:00+00:00,308.77,165.6,474.37,474.8
2021-09-01T21:00:00+00:00,308.3,207.8,516.1,516.8
2021-09-01T21:30:00+00:00,308.53,270.2,578.73,580.7
2021-09-01T22:00:00+00:00,315.42,270.2,585.62,590.4
2021-09-01T22:30:00+00:00,348.8,279.4,628.2,674.1
2021-09-01T23:00:00+00:00,425.92,283.7,709.62,721.7
2021-09-01T23:30:00+00:00,438.83,283.7,722.53,722.2
2021-09-02T00:00:00+00:00,436.18,251.0,687.1800000000001,686.4
2021-09-02T00:30:00+00:00,434.13,261.1,695.23,696.0
2021-09-02T01:00:00+00:00,437.23,208.8,646.03,644.9
2021-09-02T01:30:00+00:00,434.43,205.9,640.33,637.8
2021-09-02T02:00:00+00:00,431.0,163.2,594.2,595.3
2021-09-02T02:30:00+00:00,431.5,163.7,595.2,593.9
2021-09-02T03:00:00+00:00,431.78,147.8,579.5799999999999,580.5
2021-09-02T03:30:00+00:00,430.75,122.9,553.65,550.8
2021-09-02T04:00:00+00:00,432.08,,432.08,444.6
2021-09-02T04:30:00+00:00,454.4,,454.4,
