data,nem,swis,sum,all_regions
2021-09-01T03:30:00+00:00,,226.8,226.8,
2021-09-01T04:00:00+00:00,,250.2,250.2,250.3
2021-09-01T04:30:00+00:00,0.12,215.5,215.62,215.3
2021-09-01T05:00:00+00:00,-0.39,302.2,301.81,302.2
2021-09-01T05:30:00+00:00,0.12,336.6,336.72,336.8
2021-09-01T06:00:00+00:00,0.12,273.4,273.52,273.2
2021-09-01T06:30:00+00:00,-0.75,238.8,238.05,240.1
2021-09-01T07:00:00+00:00,96.34,320.1,416.44000000000005,558.4
2021-09-01T07:30:00+00:00,304.98,294.4,599.38,668.5
2021-09-01T08:00:00+00:00,447.4,439.3,886.7,924.6
2021-09-01T08:30:00+00:00,553.37,270.6,823.97,848.4
2021-09-01T09:00:00+00:00,523.67,411.4,935.0699999999999,909.8
2021-09-01T09:30:00+00:00,480.88,565.6,1046.48,932.1
2021-09-01T10:00:00+00:00,229.94,707.2,937.1400000000001,805.2
2021-09-01T10:30:00+00:00,2.63,629.8,632.43,628.5
2021-09-01T11:00:00+00:00,-1.17,629.8,628.63,628.0
2021-09-01T11:30:00+00:00,-1.73,554.9,553.17,553.6
2021-09-01T12:00:00+00:00,-1.56,511.6,510.04,509.6
2021-09-01T12:30:00+00:00,-1.99,406.1,404.11,404.3
2021-09-01T13:00:00+00:00,-1.76,391.1,389.34000000000003,389.1
2021-09-01T13:30:00+00:00,-2.02,222.7,220.67999999999998,220.7
2021-09-01T14:00:00+00:00,-1.95,189.8,187.85000000000002,188.8
2021-09-01T14:30:00+00:00,-0.06,196.7,196.64,196.3
2021-09-01T15:00:00+00:00,-0.74,170.8,170.06,170.6
2021-09-01T15:30:00+00:00,-0.24,140.0,139.76,139.5
2021-09-01T16:00:00+00:00,-0.21,126.2,125.99000000000001,126.0
2021-09-01T16:30:00+00:00,-0.21,156.4,156.19,156.0
2021-09-01T17:00:00+00:00,-1.13,150.8,149.67000000000002,149.6
2021-09-01T17:30:00+00:00,-1.18,161.4,160.22,160.1
2021-09-01T18:00:00+00:00,-1.15,140.9,139.75,139.6
2021-09-01T18:30:00+00:00,-1.72,144.8,143.08,142.9
2021-09-01T19:00:00+00:00,-1.68,159.6,157.92,158.5
2021-09-01T19:30:00+00:00,-0.74,128.8,128.06,128.1
2021-09-01T20:00:00+00:00,-0.4,139.8,139.4,143.0
2021-09-01T20:30:00+00:00,8.46,125.5,133.96,136.1
2021-09-01T21:00:00+00:00,10.9,123.1,134.0,133.9
2021-09-01T21:30:00+00:00,8.34,260.2,268.53999999999996,263.1
2021-09-01T22:00:00+00:00,-0.39,283.5,283.11,283.6
2021-09-01T22:30:00+00:00,0.31,335.9,336.21,335.7
2021-09-01T23:00:00+00:00,-0.39,394.3,393.91,394.4
2021-09-01T23:30:00+00:00,0.31,475.4,475.71,475.3
2021-09-02T00:00:00+00:00,-0.2,260.8,260.6,260.6
2021-09-02T00:30:00+00:00,-0.6,214.9,214.3,214.1
2021-09-02T01:00:00+00:00,-0.77,178.6,177.82999999999998,177.7
2021-09-02T01:30:00+00:00,-1.12,263.8,262.68,262.9
2021-09-02T02:00:00+00:00,-1.12,172.5,171.38,171.2
2021-09-02T02:30:00+00:00,-0.93,154.1,153.17,153.4
2021-09-02T03:00:00+00:00,-0.8,266.9,266.09999999999997,266.1
2021-09-02T03:30:00+00:00,-1.11,206.7,205.58999999999997,205.6
2021-09-02T04:00:00+00:00,-0.73,,-0.73,-0.55
2021-09-02T04:30:00+00:00,-0.22,,-0.22,
