data,nem,swis,sum,all_regions
2021-09-01T03:30:00+00:00,,,,
2021-09-01T04:00:00+00:00,,,,82.37
2021-09-01T04:30:00+00:00,80.79,,80.79,80.76
2021-09-01T05:00:00+00:00,80.22,,80.22,81.0
2021-09-01T05:30:00+00:00,80.93,,80.93,81.51
2021-09-01T06:00:00+00:00,82.44,,82.44,80.95
2021-09-01T06:30:00+00:00,80.96,,80.96,81.19
2021-09-01T07:00:00+00:00,80.95,,80.95,80.37
2021-09-01T07:30:00+00:00,79.61,,79.61,79.94
2021-09-01T08:00:00+00:00,80.11,,80.11,80.26
2021-09-01T08:30:00+00:00,80.19,,80.19,79.78
2021-09-01T09:00:00+00:00,79.69,,79.69,80.34
2021-09-01T09:30:00+00:00,80.36,,80.36,80.33
2021-09-01T10:00:00+00:00,81.1,,81.1,81.22
2021-09-01T10:30:00+00:00,81.74,,81.74,84.55
2021-09-01T11:00:00+00:00,87.28,,87.28,84.24
2021-09-01T11:30:00+00:00,80.44,,80.44,81.8
2021-09-01T12:00:00+00:00,82.46,,82.46,81.29
2021-09-01T12:30:00+00:00,80.86,,80.86,80.31
2021-09-01T13:00:00+00:00,80.27,,80.27,81.44
2021-09-01T13:30:00+00:00,81.79,,81.79,81.51
2021-09-01T14:00:00+00:00,81.26,,81.26,81.96
2021-09-01T14:30:00+00:00,82.79,,82.79,81.19
2021-09-01T15:00:00+00:00,80.8,,80.8,80.92
2021-09-01T15:30:00+00:00,80.07,,80.07,79.7
2021-09-01T16:00:00+00:00,80.6,,80.6,81.13
2021-09-01T16:30:00+00:00,80.48,,80.48,80.5
2021-09-01T17:00:00+00:00,80.14,,80.14,79.98
2021-09-01T17:30:00+00:00,81.73,,81.73,81.9
2021-09-01T18:00:00+00:00,82.02,,82.02,83.47
2021-09-01T18:30:00+00:00,81.89,,81.89,81.53
2021-09-01T19:00:00+00:00,81.74,,81.74,81.22
2021-09-01T19:30:00+00:00,81.73,,81.73,82.6
2021-09-01T20:00:00+00:00,82.24,,82.24,80.75
2021-09-01T20:30:00+00:00,81.5,,81.5,81.21
2021-09-01T21:00:00+00:00,79.92,,79.92,80.68
2021-09-01T21:30:00+00:00,80.5,,80.5,80.3
2021-09-01T22:00:00+00:00,80.76,,80.76,83.39
2021-09-01T22:30:00+00:00,86.96,,86.96,84.6
2021-09-01T23:00:00+00:00,82.15,,82.15,83.62
2021-09-01T23:30:00+00:00,83.97,,83.97,82.88
2021-09-02T00:00:00+00:00,81.11,,81.11,80.76
2021-09-02T00:30:00+00:00,80.43,,80.43,81.52
2021-09-02T01:00:00+00:00,82.54,,82.54,81.06
2021-09-02T01:30:00+00:00,80.63,,80.63,80.48
2021-09-02T02:00:00+00:00,80.28,,80.28,81.23
2021-09-02T02:30:00+00:00,81.13,,81.13,80.44
2021-09-02T03:00:00+00:00,82.08,,82.08,81.96
2021-09-02T03:30:00+00:00,80.57,,80.57,80.74
2021-09-02T04:00:00+00:00,81.23,,81.23,83.36
2021-09-02T04:30:00+00:00,86.01,,86.01,
