data,nem,swis,sum,all_regions
2021-09-01T03:30:00+00:00,,,,
2021-09-01T04:00:00+00:00,,,,52.94
2021-09-01T04:30:00+00:00,53.62,,53.62,56.19
2021-09-01T05:00:00+00:00,58.18,,58.18,59.16
2021-09-01T05:30:00+00:00,60.23,,60.23,59.8
2021-09-01T06:00:00+00:00,59.01,,59.01,58.87
2021-09-01T06:30:00+00:00,59.71,,59.71,60.24
2021-09-01T07:00:00+00:00,59.47,,59.47,58.71
2021-09-01T07:30:00+00:00,58.62,,58.62,58.59
2021-09-01T08:00:00+00:00,57.99,,57.99,56.48
2021-09-01T08:30:00+00:00,55.38,,55.38,55.13
2021-09-01T09:00:00+00:00,55.12,,55.12,55.13
2021-09-01T09:30:00+00:00,55.15,,55.15,55.15
2021-09-01T10:00:00+00:00,55.14,,55.14,56.11
2021-09-01T10:30:00+00:00,57.22,,57.22,57.27
2021-09-01T11:00:00+00:00,57.26,,57.26,57.38
2021-09-01T11:30:00+00:00,57.37,,57.37,57.36
2021-09-01T12:00:00+00:00,57.37,,57.37,57.34
2021-09-01T12:30:00+00:00,57.37,,57.37,57.39
2021-09-01T13:00:00+00:00,57.35,,57.35,57.35
2021-09-01T13:30:00+00:00,57.37,,57.37,57.39
2021-09-01T14:00:00+00:00,57.39,,57.39,57.35
2021-09-01T14:30:00+00:00,57.37,,57.37,57.39
2021-09-01T15:00:00+00:00,57.41,,57.41,57.41
2021-09-01T15:30:00+00:00,57.35,,57.35,57.35
2021-09-01T16:00:00+00:00,57.39,,57.39,57.39
2021-09-01T16:30:00+00:00,57.37,,57.37,57.38
2021-09-01T17:00:00+00:00,57.38,,57.38,57.37
2021-09-01T17:30:00+00:00,57.38,,57.38,57.39
2021-09-01T18:00:00+00:00,57.4,,57.4,57.38
2021-09-01T18:30:00+00:00,57.36,,57.36,57.38
2021-09-01T19:00:00+00:00,57.39,,57.39,57.37
2021-09-01T19:30:00+00:00,57.38,,57.38,57.4
2021-09-01T20:00:00+00:00,57.41,,57.41,57.4
2021-09-01T20:30:00+00:00,57.38,,57.38,57.36
2021-09-01T21:00:00+00:00,57.34,,57.34,57.37
2021-09-01T21:30:00+00:00,57.36,,57.36,57.36
2021-09-01T22:00:00+00:00,57.36,,57.36,57.39
2021-09-01T22:30:00+00:00,57.4,,57.4,57.36
2021-09-01T23:00:00+00:00,57.35,,57.35,57.38
2021-09-01T23:30:00+00:00,57.36,,57.36,57.32
2021-09-02T00:00:00+00:00,57.31,,57.31,57.3
2021-09-02T00:30:00+00:00,55.83,,55.83,52.8
2021-09-02T01:00:00+00:00,51.22,,51.22,51.27
2021-09-02T01:30:00+00:00,51.28,,51.28,50.55
2021-09-02T02:00:00+00:00,49.86,,49.86,49.85
2021-09-02T02:30:00+00:00,44.08,,44.08,37.61
2021-09-02T03:00:00+00:00,36.91,,36.91,36.9
2021-09-02T03:30:00+00:00,36.89,,36.89,36.89
2021-09-02T04:00:00+00:00,37.79,,37.79,40.14
2021-09-02T04:30:00+00:00,42.31,,42.31,
