data,nem,swis,sum,all_regions
2021-09-01T03:30:00+00:00,,,,
2021-09-01T04:00:00+00:00,,,,565.0
2021-09-01T04:30:00+00:00,568.74,,568.74,573.3
2021-09-01T05:00:00+00:00,566.55,,566.55,560.9
2021-09-01T05:30:00+00:00,551.43,,551.43,549.7
2021-09-01T06:00:00+00:00,558.45,,558.45,641.4
2021-09-01T06:30:00+00:00,830.85,,830.85,1104.0
2021-09-01T07:00:00+00:00,1409.67,,1409.67,1831.0
2021-09-01T07:30:00+00:00,2330.5,,2330.5,2719.0
2021-09-01T08:00:00+00:00,2974.67,,2974.67,3114.0
2021-09-01T08:30:00+00:00,3180.5,,3180.5,3167.0
2021-09-01T09:00:00+00:00,3048.17,,3048.17,2776.0
2021-09-01T09:30:00+00:00,2415.0,,2415.0,2177.0
2021-09-01T10:00:00+00:00,2052.33,,2052.33,1953.0
2021-09-01T10:30:00+00:00,1804.83,,1804.83,1714.0
2021-09-01T11:00:00+00:00,1712.67,,1712.67,1616.0
2021-09-01T11:30:00+00:00,1500.5,,1500.5,1428.0
2021-09-01T12:00:00+00:00,1355.17,,1355.17,1290.0
2021-09-01T12:30:00+00:00,1270.17,,1270.17,1262.0
2021-09-01T13:00:00+00:00,1221.83,,1221.83,1153.0
2021-09-01T13:30:00+00:00,1100.83,,1100.83,1097.0
2021-09-01T14:00:00+00:00,1094.83,,1094.83,985.5
2021-09-01T14:30:00+00:00,839.57,,839.57,763.2
2021-09-01T15:00:00+00:00,709.13,,709.13,677.0
2021-09-01T15:30:00+00:00,645.92,,645.92,611.7
2021-09-01T16:00:00+00:00,610.13,,610.13,605.4
2021-09-01T16:30:00+00:00,580.97,,580.97,550.2
2021-09-01T17:00:00+00:00,541.05,,541.05,546.8
2021-09-01T17:30:00+00:00,539.15,,539.15,534.5
2021-09-01T18:00:00+00:00,536.77,,536.77,539.7
2021-09-01T18:30:00+00:00,536.78,,536.78,534.9
2021-09-01T19:00:00+00:00,543.73,,543.73,549.3
2021-09-01T19:30:00+00:00,542.65,,542.65,566.3
2021-09-01T20:00:00+00:00,609.98,,609.98,683.3
2021-09-01T20:30:00+00:00,762.57,,762.57,852.1
2021-09-01T21:00:00+00:00,894.02,,894.02,918.0
2021-09-01T21:30:00+00:00,963.3,,963.3,931.6
2021-09-01T22:00:00+00:00,877.72,,877.72,802.0
2021-09-01T22:30:00+00:00,725.3,,725.3,612.2
2021-09-01T23:00:00+00:00,545.57,,545.57,532.8
2021-09-01T23:30:00+00:00,473.47,,473.47,437.5
2021-09-02T00:00:00+00:00,417.65,,417.65,405.4
2021-09-02T00:30:00+00:00,399.8,,399.8,388.4
2021-09-02T01:00:00+00:00,379.0,,379.0,372.8
2021-09-02T01:30:00+00:00,397.27,,397.27,431.6
2021-09-02T02:00:00+00:00,474.65,,474.65,519.5
2021-09-02T02:30:00+00:00,494.17,,494.17,467.0
2021-09-02T03:00:00+00:00,479.03,,479.03,482.9
2021-09-02T03:30:00+00:00,463.82,,463.82,413.2
2021-09-02T04:00:00+00:00,381.65,,381.65,392.2
2021-09-02T04:30:00+00:00,408.0,,408.0,
