data,nem,swis,sum,all_regions
2021-09-01T03:30:00+00:00,,29.46,29.46,
2021-09-01T04:00:00+00:00,,-10.24,-10.24,-14.58
2021-09-01T04:30:00+00:00,-15.45,28.51,13.060000000000002,-4.41
2021-09-01T05:00:00+00:00,-11.0,27.87,16.87,2.85
2021-09-01T05:30:00+00:00,-2.15,29.46,27.310000000000002,15.04
2021-09-01T06:00:00+00:00,12.16,34.42,46.58,18.22
2021-09-01T06:30:00+00:00,14.98,40.85,55.83,27.21
2021-09-01T07:00:00+00:00,24.49,40.79,65.28,28.86
2021-09-01T07:30:00+00:00,26.47,49.88,76.35,54.92
2021-09-01T08:00:00+00:00,55.93,50.15,106.08,478.9
2021-09-01T08:30:00+00:00,564.7,54.18,618.88,77.74
2021-09-01T09:00:00+00:00,82.45,52.64,135.09,46.8
2021-09-01T09:30:00+00:00,45.63,83.77,129.4,40.52
2021-09-01T10:00:00+00:00,31.88,103.3,135.18,45.14
2021-09-01T10:30:00+00:00,33.5,69.42,102.92,28.82
2021-09-01T11:00:00+00:00,20.71,48.6,69.31,30.13
2021-09-01T11:30:00+00:00,26.44,44.04,70.48,29.09
2021-09-01T12:00:00+00:00,26.1,44.41,70.50999999999999,25.53
2021-09-01T12:30:00+00:00,21.76,42.1,63.86,25.31
2021-09-01T13:00:00+00:00,21.95,42.83,64.78,19.23
2021-09-01T13:30:00+00:00,14.51,40.94,55.449999999999996,23.84
2021-09-01T14:00:00+00:00,20.42,40.84,61.260000000000005,23.49
2021-09-01T14:30:00+00:00,20.02,34.42,54.44,23.22
2021-09-01T15:00:00+00:00,20.98,25.3,46.28,20.39
2021-09-01T15:30:00+00:00,19.41,29.66,49.07,15.62
2021-09-01T16:00:00+00:00,12.81,-10.24,2.5700000000000003,7.03
2021-09-01T16:30:00+00:00,10.48,-10.24,0.2400000000000002,2.0
2021-09-01T17:00:00+00:00,4.45,-10.24,-5.79,-3.78
2021-09-01T17:30:00+00:00,-2.49,-10.24,-12.73,-0.9
2021-09-01T18:00:00+00:00,0.97,-10.24,-9.27,-4.87
2021-09-01T18:30:00+00:00,-3.79,-10.24,-14.030000000000001,-5.47
2021-09-01T19:00:00+00:00,-4.51,-10.24,-14.75,-3.96
2021-09-01T19:30:00+00:00,-2.71,-10.24,-12.95,6.34
2021-09-01T20:00:00+00:00,9.66,-10.24,-0.5800000000000001,1.15
2021-09-01T20:30:00+00:00,3.43,-10.24,-6.8100000000000005,10.9
2021-09-01T21:00:00+00:00,15.13,26.18,41.31,24.4
2021-09-01T21:30:00+00:00,24.04,26.44,50.480000000000004,12.97
2021-09-01T22:00:00+00:00,10.28,49.56,59.84,-0.96
2021-09-01T22:30:00+00:00,-11.07,50.54,39.47,-28.37
2021-09-01T23:00:00+00:00,-44.15,51.27,7.1200000000000045,-6.37
2021-09-01T23:30:00+00:00,-17.9,51.26,33.36,5.26
2021-09-02T00:00:00+00:00,-3.94,51.16,47.22,-25.71
2021-09-02T00:30:00+00:00,-41.08,49.96,8.880000000000003,-14.98
2021-09-02T01:00:00+00:00,-27.97,49.59,21.620000000000005,-35.28
2021-09-02T01:30:00+00:00,-52.25,49.43,-2.8200000000000003,-5.73
2021-09-02T02:00:00+00:00,-16.77,48.82,32.05,-25.18
2021-09-02T02:30:00+00:00,-39.98,24.21,-15.769999999999996,-18.83
2021-09-02T03:00:00+00:00,-27.43,29.84,2.41,-18.43
2021-09-02T03:30:00+00:00,-28.09,-10.24,-38.33,-23.74
2021-09-02T04:00:00+00:00,-26.44,,-26.44,-20.19
2021-09-02T04:30:00+00:00,-17.47,,-17.47,
