data,nem,swis,sum,all_regions
2021-09-01T03:30:00+00:00,,,,
2021-09-01T04:00:00+00:00,,,,-330.5
2021-09-01T04:30:00+00:00,-301.24,,-301.24,-264.3
2021-09-01T05:00:00+00:00,-237.38,,-237.38,-236.8
2021-09-01T05:30:00+00:00,-197.57,,-197.57,-79.19
2021-09-01T06:00:00+00:00,0.0,,0.0,0.0
2021-09-01T06:30:00+00:00,0.0,,0.0,0.0
2021-09-01T07:00:00+00:00,0.0,,0.0,0.0
2021-09-01T07:30:00+00:00,0.0,,0.0,0.0
2021-09-01T08:00:00+00:00,0.0,,0.0,0.0
2021-09-01T08:30:00+00:00,0.0,,0.0,0.0
2021-09-01T09:00:00+00:00,0.0,,0.0,0.0
2021-09-01T09:30:00+00:00,0.0,,0.0,0.0
2021-09-01T10:00:00+00:00,0.0,,0.0,0.0
2021-09-01T10:30:00+00:00,0.0,,0.0,0.0
2021-09-01T11:00:00+00:00,0.0,,0.0,0.0
2021-09-01T11:30:00+00:00,0.0,,0.0,0.0
2021-09-01T12:00:00+00:00,0.0,,0.0,0.0
2021-09-01T12:30:00+00:00,0.0,,0.0,0.0
2021-09-01T13:00:00+00:00,0.0,,0.0,0.0
2021-09-01T13:30:00+00:00,0.0,,0.0,0.0
2021-09-01T14:00:00+00:00,0.0,,0.0,0.0
2021-09-01T14:30:00+00:00,0.0,,0.0,0.0
2021-09-01T15:00:00+00:00,0.0,,0.0,0.0
2021-09-01T15:30:00+00:00,0.0,,0.0,0.0
2021-09-01T16:00:00+00:00,0.0,,0.0,0.0
2021-09-01T16:30:00+00:00,0.0,,0.0,0.0
2021-09-01T17:00:00+00:00,0.0,,0.0,0.0
2021-09-01T17:30:00+00:00,0.0,,0.0,0.0
2021-09-01T18:00:00+00:00,0.0,,0.0,0.0
2021-09-01T18:30:00+00:00,0.0,,0.0,0.0
2021-09-01T19:00:00+00:00,0.0,,0.0,0.0
2021-09-01T19:30:00+00:00,0.0,,0.0,0.0
2021-09-01T20:00:00+00:00,0.0,,0.0,0.0
2021-09-01T20:30:00+00:00,0.0,,0.0,0.0
2021-09-01T21:00:00+00:00,0.0,,0.0,0.0
2021-09-01T21:30:00+00:00,0.0,,0.0,0.0
2021-09-01T22:00:00+00:00,0.0,,0.0,-119.3
2021-09-01T22:30:00+00:00,-238.67,,-238.67,-239.1
2021-09-01T23:00:00+00:00,-238.67,,-238.67,-238.0
2021-09-01T23:30:00+00:00,-238.35,,-238.35,-238.5
2021-09-02T00:00:00+00:00,-238.7,,-238.7,-238.6
2021-09-02T00:30:00+00:00,-238.9,,-238.9,-265.2
2021-09-02T01:00:00+00:00,-316.73,,-316.73,-437.5
2021-09-02T01:30:00+00:00,-541.72,,-541.72,-550.7
2021-09-02T02:00:00+00:00,-550.37,,-550.37,-549.9
2021-09-02T02:30:00+00:00,-549.57,,-549.57,-549.7
2021-09-02T03:00:00+00:00,-517.4,,-517.4,-421.9
2021-09-02T03:30:00+00:00,-358.52,,-358.52,-358.7
2021-09-02T04:00:00+00:00,-351.93,,-351.93,-332.9
2021-09-02T04:30:00+00:00,-315.25,,-315.25,
