data,nem,swis,sum,all_regions
2021-09-01T03:30:00+00:00,,487.1,487.1,
2021-09-01T04:00:00+00:00,,488.7,488.7,7847.0
2021-09-01T04:30:00+00:00,6317.8,416.5,6734.3,7147.0
2021-09-01T05:00:00+00:00,5592.75,383.4,5976.15,6296.0
2021-09-01T05:30:00+00:00,4705.17,407.8,5112.97,5428.0
2021-09-01T06:00:00+00:00,3686.33,388.7,4075.0299999999997,4345.0
2021-09-01T06:30:00+00:00,2553.42,312.0,2865.42,3026.0
2021-09-01T07:00:00+00:00,1473.8,271.0,1744.8,1871.0
2021-09-01T07:30:00+00:00,644.79,219.8,864.5899999999999,972.1
2021-09-01T08:00:00+00:00,185.58,220.2,405.78,541.5
2021-09-01T08:30:00+00:00,31.24,136.6,167.84,277.1
2021-09-01T09:00:00+00:00,2.31,110.8,113.11,205.8
2021-09-01T09:30:00+00:00,0.0,62.39,62.39,90.79
2021-09-01T10:00:00+00:00,0.0,1.89,1.89,3.77
2021-09-01T10:30:00+00:00,0.0,2.36,2.36,0.0
2021-09-01T11:00:00+00:00,0.0,2.84,2.84,0.0
2021-09-01T11:30:00+00:00,0.0,3.32,3.32,0.0
2021-09-01T12:00:00+00:00,0.0,3.8,3.8,0.0
2021-09-01T12:30:00+00:00,0.0,4.28,4.28,0.0
2021-09-01T13:00:00+00:00,0.0,4.76,4.76,0.0
2021-09-01T13:30:00+00:00,0.0,5.24,5.24,0.0
2021-09-01T14:00:00+00:00,0.0,5.71,5.71,0.0
2021-09-01T14:30:00+00:00,0.0,6.19,6.19,0.0
2021-09-01T15:00:00+00:00,0.0,6.67,6.67,0.0
2021-09-01T15:30:00+00:00,0.0,7.15,7.15,0.0
2021-09-01T16:00:00+00:00,0.0,7.63,7.63,0.0
2021-09-01T16:30:00+00:00,0.0,8.11,8.11,0.0
2021-09-01T17:00:00+00:00,0.0,8.59,8.59,0.0
2021-09-01T17:30:00+00:00,0.0,9.06,9.06,0.0
2021-09-01T18:00:00+00:00,0.0,9.54,9.54,0.0
2021-09-01T18:30:00+00:00,0.0,10.02,10.02,0.0
2021-09-01T19:00:00+00:00,0.0,10.5,10.5,0.0
2021-09-01T19:30:00+00:00,0.0,10.98,10.98,0.0
2021-09-01T20:00:00+00:00,3.28,11.46,14.74,0.0
2021-09-01T20:30:00+00:00,55.6,11.94,67.54,39.38
2021-09-01T21:00:00+00:00,316.88,12.41,329.29,312.8
2021-09-01T21:30:00+00:00,879.67,12.89,892.56,908.6
2021-09-01T22:00:00+00:00,1696.52,13.37,1709.8899999999999,1753.0
2021-09-01T22:30:00+00:00,2671.42,13.85,2685.27,2778.0
2021-09-01T23:00:00+00:00,3592.17,57.46,3649.63,3758.0
2021-09-01T23:30:00+00:00,4423.0,149.7,4572.7,4740.0
2021-09-02T00:00:00+00:00,5134.92,307.7,5442.62,5718.0
2021-09-02T00:30:00+00:00,5772.42,435.4,6207.82,6627.0
2021-09-02T01:00:00+00:00,6395.5,477.7,6873.2,7397.0
2021-09-02T01:30:00+00:00,6801.75,769.0,7570.75,8290.0
2021-09-02T02:00:00+00:00,7045.58,645.8,7691.38,8237.0
2021-09-02T02:30:00+00:00,7187.92,908.6,8096.52,8866.0
2021-09-02T03:00:00+00:00,7086.42,1033.0,8119.42,9114.0
2021-09-02T03:30:00+00:00,6924.08,928.9,7852.98,8752.0
2021-09-02T04:00:00+00:00,6549.0,,6549.0,6530.0
2021-09-02T04:30:00+00:00,6190.5,,6190.5,
