data,nem,swis,sum,all_regions
2021-09-01T03:30:00+00:00,,50.51,50.51,
2021-09-01T04:00:00+00:00,,48.56,48.56,3200.0
2021-09-01T04:30:00+00:00,3176.4,41.6,3218.0,3184.0
2021-09-01T05:00:00+00:00,3052.83,38.96,3091.79,3000.0
2021-09-01T05:30:00+00:00,2932.17,25.44,2957.61,2901.0
2021-09-01T06:00:00+00:00,2712.33,37.26,2749.59,2572.0
2021-09-01T06:30:00+00:00,2306.17,16.6,2322.77,1993.0
2021-09-01T07:00:00+00:00,1595.33,6.21,1601.54,1142.0
2021-09-01T07:30:00+00:00,656.05,8.51,664.56,303.1
2021-09-01T08:00:00+00:00,96.91,7.21,104.11999999999999,29.34
2021-09-01T08:30:00+00:00,2.92,6.31,9.23,6.7
2021-09-01T09:00:00+00:00,0.09,0.18,0.27,0.26
2021-09-01T09:30:00+00:00,0.09,0.0,0.09,0.09
2021-09-01T10:00:00+00:00,0.09,0.0,0.09,0.09
2021-09-01T10:30:00+00:00,0.09,0.0,0.09,0.09
2021-09-01T11:00:00+00:00,0.09,0.0,0.09,0.09
2021-09-01T11:30:00+00:00,0.09,0.0,0.09,0.09
2021-09-01T12:00:00+00:00,0.09,0.0,0.09,0.09
2021-09-01T12:30:00+00:00,0.09,0.0,0.09,0.05
2021-09-01T13:00:00+00:00,-0.07,0.0,-0.07,-0.12
2021-09-01T13:30:00+00:00,-0.11,0.0,-0.11,-0.11
2021-09-01T14:00:00+00:00,-0.11,0.0,-0.11,-0.11
2021-09-01T14:30:00+00:00,-0.11,0.0,-0.11,-0.11
2021-09-01T15:00:00+00:00,-0.11,0.0,-0.11,-0.11
2021-09-01T15:30:00+00:00,-0.11,0.0,-0.11,-0.11
2021-09-01T16:00:00+00:00,-0.12,0.0,-0.12,-0.15
2021-09-01T16:30:00+00:00,-0.18,0.0,-0.18,-0.18
2021-09-01T17:00:00+00:00,-0.18,0.0,-0.18,-0.17
2021-09-01T17:30:00+00:00,-0.13,0.0,-0.13,-0.11
2021-09-01T18:00:00+00:00,-0.11,0.0,-0.11,-0.11
2021-09-01T18:30:00+00:00,-0.11,0.0,-0.11,-0.11
2021-09-01T19:00:00+00:00,-0.11,0.0,-0.11,-0.11
2021-09-01T19:30:00+00:00,-0.11,0.0,-0.11,-0.11
2021-09-01T20:00:00+00:00,-0.11,0.0,-0.11,0.67
2021-09-01T20:30:00+00:00,10.73,0.0,10.73,67.04
2021-09-01T21:00:00+00:00,238.73,0.0,238.73,577.8
2021-09-01T21:30:00+00:00,1077.6,0.0,1077.6,1635.0
2021-09-01T22:00:00+00:00,2037.17,0.01,2037.18,2313.0
2021-09-01T22:30:00+00:00,2546.83,6.04,2552.87,2705.0
2021-09-01T23:00:00+00:00,2750.5,54.28,2804.78,2928.0
2021-09-01T23:30:00+00:00,2924.67,37.91,2962.58,2876.0
2021-09-02T00:00:00+00:00,2858.17,99.87,2958.04,2969.0
2021-09-02T00:30:00+00:00,2894.5,122.6,3017.1,2964.0
2021-09-02T01:00:00+00:00,2699.33,67.94,2767.27,2720.0
2021-09-02T01:30:00+00:00,2656.83,69.33,2726.16,2725.0
2021-09-02T02:00:00+00:00,2652.5,74.41,2726.91,2715.0
2021-09-02T02:30:00+00:00,2669.0,59.46,2728.46,2827.0
2021-09-02T03:00:00+00:00,2786.0,111.8,2897.8,2903.0
2021-09-02T03:30:00+00:00,2815.17,58.43,2873.6,2852.0
2021-09-02T04:00:00+00:00,2830.5,,2830.5,2810.0
2021-09-02T04:30:00+00:00,2727.5,,2727.5,
