data,nem,swis,sum,all_regions
2021-09-01T03:30:00+00:00,,862.7,862.7,
2021-09-01T04:00:00+00:00,,887.1,887.1,2937.0
2021-09-01T04:30:00+00:00,2109.2,926.2,3035.3999999999996,3120.0
2021-09-01T05:00:00+00:00,2252.67,839.5,3092.17,3105.0
2021-09-01T05:30:00+00:00,2294.67,776.4,3071.07,3120.0
2021-09-01T06:00:00+00:00,2425.33,787.6,3212.93,3300.0
2021-09-01T06:30:00+00:00,2558.67,811.5,3370.17,3408.0
2021-09-01T07:00:00+00:00,2669.67,751.8,3421.4700000000003,3570.0
2021-09-01T07:30:00+00:00,3049.67,762.8,3812.4700000000003,4029.0
2021-09-01T08:00:00+00:00,3438.5,677.0,4115.5,4218.0
2021-09-01T08:30:00+00:00,3608.67,813.8,4422.47,4603.0
2021-09-01T09:00:00+00:00,4120.5,844.3,4964.8,5253.0
2021-09-01T09:30:00+00:00,4540.67,841.5,5382.17,5449.0
2021-09-01T10:00:00+00:00,4722.17,807.1,5529.27,5588.0
2021-09-01T10:30:00+00:00,4852.83,859.4,5712.23,5762.0
2021-09-01T11:00:00+00:00,4939.67,795.6,5735.27,5887.0
2021-09-01T11:30:00+00:00,5107.83,829.4,5937.23,5942.0
2021-09-01T12:00:00+00:00,5144.83,842.2,5987.03,6018.0
2021-09-01T12:30:00+00:00,5114.17,808.2,5922.37,5857.0
2021-09-01T13:00:00+00:00,5046.33,710.5,5756.83,5864.0
2021-09-01T13:30:00+00:00,5237.67,767.0,6004.67,6031.0
2021-09-01T14:00:00+00:00,5284.67,761.0,6045.67,6052.0
2021-09-01T14:30:00+00:00,5324.0,765.7,6089.7,6136.0
2021-09-01T15:00:00+00:00,5400.5,753.5,6154.0,6153.0
2021-09-01T15:30:00+00:00,5393.67,765.4,6159.07,6173.0
2021-09-01T16:00:00+00:00,5414.83,773.8,6188.63,6173.0
2021-09-01T16:30:00+00:00,5351.33,780.6,6131.93,6081.0
2021-09-01T17:00:00+00:00,5242.17,764.9,6007.07,5980.0
2021-09-01T17:30:00+00:00,5214.67,750.2,5964.87,5961.0
2021-09-01T18:00:00+00:00,5201.17,783.7,5984.87,5981.0
2021-09-01T18:30:00+00:00,5179.33,769.6,5948.93,5983.0
2021-09-01T19:00:00+00:00,5145.67,745.1,5890.77,5927.0
2021-09-01T19:30:00+00:00,5251.67,777.9,6029.57,6088.0
2021-09-01T20:00:00+00:00,5316.17,807.3,6123.47,6107.0
2021-09-01T20:30:00+00:00,5342.67,822.1,6164.77,6242.0
2021-09-01T21:00:00+00:00,5525.5,834.4,6359.9,6340.0
2021-09-01T21:30:00+00:00,5453.5,796.4,6249.9,6204.0
2021-09-01T22:00:00+00:00,5323.5,760.6,6084.1,6048.0
2021-09-01T22:30:00+00:00,5174.5,743.7,5918.2,5774.0
2021-09-01T23:00:00+00:00,4875.5,741.4,5616.9,5329.0
2021-09-01T23:30:00+00:00,4350.83,605.9,4956.73,4854.0
2021-09-02T00:00:00+00:00,4147.17,641.2,4788.37,4629.0
2021-09-02T00:30:00+00:00,3879.0,656.9,4535.9,4496.0
2021-09-02T01:00:00+00:00,3755.0,727.5,4482.5,4427.0
2021-09-02T01:30:00+00:00,3621.0,810.8,4431.8,4257.0
2021-09-02T02:00:00+00:00,3249.17,780.2,4029.37,3929.0
2021-09-02T02:30:00+00:00,3135.17,640.3,3775.4700000000003,3778.0
2021-09-02T03:00:00+00:00,3143.67,616.2,3759.87,3791.0
2021-09-02T03:30:00+00:00,3234.17,700.2,3934.37,4173.0
2021-09-02T04:00:00+00:00,3596.33,,3596.33,3586.0
2021-09-02T04:30:00+00:00,3655.0,,3655.0,
